datetime,open,high,low,close,volume
2026-01-30 15:24:00,82271.09,82283.33,82253.47,82265.03,42150
2026-01-30 15:25:00,82265.6,82287.39,82256.91,82279.45,28444
2026-01-30 15:26:00,82280.4,82303.28,82273.43,82297.46,37982
2026-01-30 15:27:00,82298.44,82301.63,82273.31,82288.2,49168
2026-01-30 15:28:00,82286.24,82325.5,82269.02,82303.74,53955
2026-01-30 15:29:00,82315.91,82329.74,82261.15,82261.15,59588
2026-02-01 09:15:00,82388.97,82499.5,82139.12,82156.17,235981
2026-02-01 09:16:00,82189.56,82204.91,82144.09,82179.94,91042
2026-02-01 09:17:00,82175.82,82236.21,82157.12,82236.21,87952
2026-02-01 09:18:00,82234.74,82267.32,82220.52,82234.15,108938
2026-02-01 09:19:00,82231.02,82259.5,82225.18,82225.18,61361
2026-02-01 09:20:00,82232.36,82291.09,82206.08,82276.62,85604
2026-02-01 09:21:00,82280.89,82288.23,82250.56,82254.2,109971
2026-02-01 09:22:00,82259.54,82288.89,82244.82,82249.18,120668
2026-02-01 09:23:00,82256.19,82307.23,82249.29,82300.56,60381
2026-02-01 09:24:00,82307.49,82308.87,82277.9,82304.11,83742
2026-02-01 09:25:00,82297.06,82314.01,82268.47,82296.03,76498
2026-02-01 09:26:00,82293.13,82307.23,82277.44,82304.02,95929
2026-02-01 09:27:00,82300.98,82325.17,82298.39,82321.46,92908
2026-02-01 09:28:00,82319.31,82335.93,82297.95,82335.93,73479
2026-02-01 09:29:00,82337.38,82350.04,82319.12,82346.56,65948
2026-02-01 09:30:00,82345.51,82354.55,82295.03,82303.82,42035
2026-02-01 09:31:00,82298.71,82315.58,82255.66,82289.82,58514
2026-02-01 09:32:00,82282.63,82299.91,82247.09,82256.6,47172
2026-02-01 09:33:00,82256.45,82307.19,82256.45,82279.99,34858
2026-02-01 09:34:00,82278.25,82304.92,82271.37,82294.39,39015
2026-02-01 09:35:00,82293.72,82301.91,82276.42,82285.89,43251
2026-02-01 09:36:00,82283.05,82317.86,82279.33,82300.15,32533
2026-02-01 09:37:00,82302.56,82329.25,82300.05,82329.25,32964
2026-02-01 09:38:00,82326.35,82326.35,82296.97,82306.85,33270
2026-02-01 09:39:00,82305.4,82323.47,82298.69,82305.15,26609
2026-02-01 09:40:00,82298.23,82303.16,82287.72,82300.45,25566
2026-02-01 09:41:00,82303.81,82320.44,82301.44,82317.69,29740
2026-02-01 09:42:00,82319.34,82325.56,82301.49,82308.29,25943
2026-02-01 09:43:00,82302.96,82329.69,82302.27,82327.01,28413
2026-02-01 09:44:00,82325.4,82386.01,82318.08,82375.43,37832
2026-02-01 09:45:00,82378.5,82426.43,82373.18,82407.8,35633
2026-02-01 09:46:00,82407.96,82407.96,82387.03,82392.4,27826
2026-02-01 09:47:00,82398.6,82398.92,82367.55,82379.4,37712
2026-02-01 09:48:00,82376.84,82376.84,82341.81,82354.47,23523
2026-02-01 09:49:00,82358.16,82378.97,82356.0,82362.28,51070
2026-02-01 09:50:00,82364.6,82378.02,82119.31,82250.01,123436
2026-02-01 09:51:00,82258.56,82321.48,82258.56,82296.9,49358
2026-02-01 09:52:00,82298.84,82334.78,82298.84,82331.0,74709
2026-02-01 09:53:00,82330.5,82330.5,82309.6,82314.99,81557
2026-02-01 09:54:00,82309.59,82341.01,82309.59,82322.51,59494
2026-02-01 09:55:00,82323.1,82334.12,82308.06,82324.94,32744
2026-02-01 09:56:00,82326.52,82330.71,82296.46,82330.2,68853
2026-02-01 09:57:00,82330.94,82343.72,82324.45,82331.74,54023
2026-02-01 09:58:00,82330.3,82338.45,82315.85,82338.45,47909
2026-02-01 09:59:00,82338.3,82347.11,82312.37,82323.82,65635
2026-02-01 10:00:00,82324.4,82373.5,82324.4,82360.22,23682
2026-02-01 10:01:00,82363.97,82365.38,82309.96,82314.44,92687
2026-02-01 10:02:00,82315.33,82329.82,82311.78,82321.95,19616
2026-02-01 10:03:00,82319.73,82344.64,82317.68,82339.48,26992
2026-02-01 10:04:00,82338.2,82350.49,82325.34,82340.01,45754
2026-02-01 10:05:00,82339.28,82346.92,82321.17,82346.92,17784
2026-02-01 10:06:00,82348.46,82378.82,82338.26,82373.66,36265
2026-02-01 10:07:00,82371.03,82377.17,82352.92,82353.43,21434
2026-02-01 10:08:00,82357.41,82357.41,82333.99,82341.04,26329
2026-02-01 10:09:00,82340.31,82361.45,82336.77,82357.23,29192
2026-02-01 10:10:00,82357.81,82378.71,82344.44,82378.71,43535
2026-02-01 10:11:00,82381.37,82387.8,82363.33,82371.94,19424
2026-02-01 10:12:00,82373.45,82400.73,82367.48,82386.65,45431
2026-02-01 10:13:00,82390.34,82401.01,82372.2,82393.43,13599
2026-02-01 10:14:00,82396.65,82414.9,82382.83,82410.22,24284
2026-02-01 10:15:00,82411.34,82437.84,82411.34,82424.05,25042
2026-02-01 10:16:00,82425.07,82449.75,82419.77,82449.75,16398
2026-02-01 10:17:00,82444.6,82444.6,82428.18,82428.27,13576
2026-02-01 10:18:00,82425.01,82430.28,82400.65,82406.89,34714
2026-02-01 10:19:00,82405.5,82408.49,82384.06,82401.65,23711
2026-02-01 10:20:00,82403.01,82439.19,82403.01,82432.22,17209
2026-02-01 10:21:00,82435.1,82476.39,82431.09,82469.88,24635
2026-02-01 10:22:00,82471.02,82472.39,82452.32,82463.51,17503
2026-02-01 10:23:00,82466.73,82484.43,82466.47,82478.44,61318
2026-02-01 10:24:00,82477.68,82497.72,82477.68,82490.46,25258
2026-02-01 10:25:00,82490.92,82501.22,82486.5,82500.52,12505
2026-02-01 10:26:00,82496.99,82511.4,82481.94,82488.79,14566
2026-02-01 10:27:00,82488.27,82505.74,82486.87,82495.4,18001
2026-02-01 10:28:00,82496.64,82511.52,82494.11,82494.11,21087
2026-02-01 10:29:00,82493.75,82507.87,82487.48,82487.48,13417
2026-02-01 10:30:00,82481.84,82492.46,82470.9,82478.79,14386
2026-02-01 10:31:00,82480.3,82485.87,82441.49,82444.52,16986
2026-02-01 10:32:00,82444.42,82460.79,82439.5,82460.79,12643
2026-02-01 10:33:00,82458.74,82493.17,82450.4,82493.17,23896
2026-02-01 10:34:00,82491.44,82508.49,82465.23,82508.49,10150
2026-02-01 10:35:00,82508.49,82539.52,82497.23,82537.4,25079
2026-02-01 10:36:00,82531.99,82540.29,82490.12,82504.73,36348
2026-02-01 10:37:00,82504.39,82532.48,82504.31,82529.26,16073
2026-02-01 10:38:00,82529.26,82539.54,82499.08,82538.76,10456
2026-02-01 10:39:00,82532.96,82537.71,82516.74,82526.01,29206
2026-02-01 10:40:00,82525.69,82537.82,82514.81,82528.2,15345
2026-02-01 10:41:00,82528.87,82542.01,82526.0,82534.8,34100
2026-02-01 10:42:00,82534.46,82534.46,82483.8,82485.33,16979
2026-02-01 10:43:00,82483.97,82506.75,82483.97,82492.5,10052
2026-02-01 10:44:00,82492.43,82505.89,82490.62,82504.72,12760
2026-02-01 10:45:00,82512.77,82515.9,82501.71,82512.96,95959
2026-02-01 10:46:00,82514.45,82514.76,82472.04,82483.25,21789
2026-02-01 10:47:00,82491.45,82498.28,82476.06,82483.32,19764
2026-02-01 10:48:00,82484.29,82497.61,82477.56,82486.35,16419
2026-02-01 10:49:00,82483.74,82503.92,82483.74,82491.04,10159
2026-02-01 10:50:00,82491.61,82500.97,82480.88,82498.72,8442
2026-02-01 10:51:00,82500.12,82500.77,82468.63,82476.22,12662
2026-02-01 10:52:00,82474.88,82498.67,82470.75,82492.77,14100
2026-02-01 10:53:00,82494.43,82525.86,82493.88,82507.47,10189
2026-02-01 10:54:00,82509.58,82523.04,82498.57,82516.1,20323
2026-02-01 10:55:00,82519.55,82530.55,82506.33,82508.27,17931
2026-02-01 10:56:00,82509.45,82526.95,82502.57,82523.61,17748
2026-02-01 10:57:00,82524.64,82530.63,82502.79,82523.96,28540
2026-02-01 10:58:00,82524.08,82540.92,82522.48,82535.72,26292
2026-02-01 10:59:00,82535.72,82550.03,82516.53,82547.84,34684
2026-02-01 11:00:00,82547.84,82555.27,82533.86,82538.05,20768
2026-02-01 11:01:00,82539.63,82557.03,82526.93,82529.18,17392
2026-02-01 11:02:00,82531.36,82531.96,82456.7,82459.71,15215
2026-02-01 11:03:00,82459.12,82470.19,82448.87,82451.35,20134
2026-02-01 11:04:00,82449.43,82491.14,82436.08,82484.42,18640
2026-02-01 11:05:00,82486.33,82516.51,82481.21,82509.59,23467
2026-02-01 11:06:00,82507.59,82507.59,82478.7,82496.28,8186
2026-02-01 11:07:00,82493.85,82533.52,82493.85,82533.52,7228
2026-02-01 11:08:00,82528.11,82605.78,82527.98,82599.27,56111
2026-02-01 11:09:00,82596.64,82726.65,82594.23,82657.63,53334
2026-02-01 11:10:00,82657.32,82693.59,82657.06,82671.01,18371
2026-02-01 11:11:00,82677.54,82704.33,82677.54,82687.84,33611
2026-02-01 11:12:00,82687.21,82691.44,82586.5,82631.48,225693
2026-02-01 11:13:00,82637.03,82668.75,82616.92,82624.47,117889
2026-02-01 11:14:00,82624.16,82653.27,82591.45,82629.89,110307
2026-02-01 11:15:00,82634.38,82634.38,82564.86,82564.86,79138
2026-02-01 11:16:00,82557.7,82601.65,82557.7,82601.65,60407
2026-02-01 11:17:00,82599.62,82602.47,82571.03,82581.42,50210
2026-02-01 11:18:00,82582.42,82587.76,82548.53,82550.99,62862
2026-02-01 11:19:00,82549.46,82566.83,82536.83,82546.88,40591
2026-02-01 11:20:00,82550.87,82550.87,82454.76,82460.19,35924
2026-02-01 11:21:00,82468.25,82549.69,82463.7,82539.91,30868
2026-02-01 11:22:00,82537.02,82550.72,82523.47,82525.76,32751
2026-02-01 11:23:00,82523.55,82537.85,82507.69,82508.78,21903
2026-02-01 11:24:00,82514.92,82525.65,82487.8,82492.07,82696
2026-02-01 11:25:00,82493.32,82514.19,82486.01,82505.15,90901
